state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes_dom,total_calls_dom,total_charge_dom,total_minutes,total_calls,total_charge,charge_per_min_dom,charge_per_min_int,%_int_min,call_satisfaction,region
OK,105,510,yes,yes,28,156.1,89,26.54,107.1,114,9.1,167.7,95,7.55,14.7,3,3.97,0,1,430.9,298,105.64999999999999,445.59999999999997,301,109.61999999999999,0.35453020134228186,1.3233333333333335,0.03298922800718133,0.0,South
WA,117,408,no,no,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12.0,4,3.24,2,0,558.6999999999999,267,120.85999999999999,570.6999999999999,271,124.09999999999998,0.4526591760299625,0.81,0.021026809181706678,0.007380073800738007,West
SD,91,415,no,no,0,153.0,123,26.01,141.1,127,11.99,171.5,76,7.72,10.3,15,2.78,1,1,465.6,326,142.71,475.90000000000003,341,145.49,0.43776073619631906,0.18533333333333332,0.021643202353435597,0.002932551319648094,Midwest
OH,135,415,no,no,0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,10.3,3,2.78,4,0,547.4,267,147.5,557.6999999999999,270,150.28,0.552434456928839,0.9266666666666666,0.018468710776403087,0.014814814814814815,Midwest
VA,146,415,no,no,0,205.4,101,34.92,134.9,77,11.47,310.5,83,13.97,10.3,2,2.78,3,0,650.8,261,126.44,661.0999999999999,263,129.22,0.48444444444444446,1.39,0.015580093783088795,0.011406844106463879,South
WI,147,415,yes,no,0,225.2,111,38.28,184.9,98,15.72,143.2,146,6.44,9.9,1,2.67,0,1,553.3,355,133.16,563.1999999999999,356,135.82999999999998,0.37509859154929576,2.67,0.017578125000000003,0.0,Midwest
IN,68,510,no,no,0,249.9,127,42.48,254.5,118,21.63,273.2,98,12.29,8.9,6,2.4,2,1,777.5999999999999,343,160.92,786.4999999999999,349,163.32,0.4691545189504373,0.39999999999999997,0.011315956770502227,0.0057306590257879654,Midwest
NM,68,408,no,no,0,131.6,89,22.37,137.0,109,11.65,256.3,107,11.53,10.2,5,2.75,3,0,524.9000000000001,305,112.18,535.1000000000001,310,114.93,0.36780327868852464,0.55,0.01906185759671089,0.00967741935483871,West
HI,86,408,no,yes,21,197.9,99,33.64,165.6,100,14.08,208.0,120,9.36,10.1,9,2.73,0,0,571.5,319,122.44,581.6,328,125.17,0.3838244514106583,0.30333333333333334,0.017365887207702886,0.0,West
KY,131,415,no,no,0,166.5,129,28.31,210.2,107,17.87,257.2,93,11.57,9.9,5,2.67,1,0,633.9,329,158.44,643.8,334,161.10999999999999,0.481580547112462,0.534,0.015377446411929173,0.0029940119760479044,South
OH,86,415,no,yes,29,225.4,79,38.32,187.1,112,15.9,281.1,112,12.65,12.9,3,3.48,1,0,693.6,303,107.55000000000001,706.5,306,111.03000000000002,0.354950495049505,1.16,0.018259023354564755,0.0032679738562091504,Midwest
VT,159,415,no,no,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,1,689.2,304,129.19,696.6,309,131.19,0.4249671052631579,0.4,0.010623026126902095,0.006472491909385114,Northeast
AZ,134,415,no,yes,40,142.9,105,24.29,88.6,61,7.53,290.0,96,13.05,10.8,6,2.92,1,0,521.5,262,125.58,532.3,268,128.5,0.47931297709923665,0.48666666666666664,0.020289310539169644,0.0037313432835820895,West
VT,113,510,no,no,0,207.2,113,35.22,256.0,80,21.76,211.0,87,9.49,9.9,1,2.67,1,0,674.2,280,144.25,684.1,281,146.92,0.5151785714285714,2.67,0.014471568484139746,0.0035587188612099642,Northeast
MO,132,408,no,no,0,206.2,100,35.05,211.2,118,17.95,196.2,122,8.83,10.2,6,2.75,1,0,613.5999999999999,340,126.78,623.8,346,129.53,0.3728823529411765,0.4583333333333333,0.01635139467778134,0.002890173410404624,Midwest
AL,85,415,no,no,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,0,627.7,224,92.61,638.9000000000001,231,95.63,0.4134375,0.43142857142857144,0.01753012991078416,0.004329004329004329,South
NJ,93,510,yes,yes,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,1,538.5,364,135.86,552.5,371,139.64000000000001,0.37324175824175826,0.5399999999999999,0.025339366515837104,0.0026954177897574125,Northeast
WA,174,408,no,yes,33,167.8,91,28.53,205.3,91,17.45,130.0,132,5.85,14.5,4,3.92,4,1,503.1,314,114.3,517.6,318,118.22,0.36401273885350316,0.98,0.02801391035548686,0.012578616352201259,West
NY,61,415,no,no,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,0,570.9,307,140.89,577.9,310,142.77999999999997,0.4589250814332247,0.63,0.012112822287593009,0.0064516129032258064,Northeast
DC,91,415,no,yes,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,0,379.4,313,117.04,390.29999999999995,317,119.98,0.3739297124600639,0.735,0.027927235459902642,0.0031545741324921135,south
NE,88,408,no,yes,28,190.6,104,32.4,237.3,105,20.17,211.6,116,9.52,9.8,1,2.65,2,0,639.5,325,133.69,649.3,326,136.34,0.4113538461538461,2.65,0.015093177267826892,0.006134969325153374,Midwest
MA,88,408,no,yes,45,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,0,542.8,364,166.94,555.5999999999999,367,170.4,0.4586263736263736,1.1533333333333333,0.02303815694744421,0.005449591280653951,Northeast
VT,195,415,no,yes,36,231.7,110,39.39,225.1,88,19.13,201.7,89,9.08,12.1,2,3.27,0,0,658.5,287,138.21,670.6,289,141.48000000000002,0.4815679442508711,1.635,0.01804354309573516,0.0,Northeast
NM,182,415,no,no,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,0,556.0999999999999,319,145.13,562.5999999999999,323,146.89,0.4549529780564263,0.44,0.011553501599715608,0.0,West
CO,118,408,no,no,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,0,626.3000000000001,224,88.38000000000001,634.5000000000001,231,90.59,0.39455357142857145,0.3157142857142857,0.012923561859732069,0.017316017316017316,West
NH,103,408,no,no,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,1,540.9,355,149.32,551.3,363,152.13,0.4206197183098591,0.35125,0.018864502085978598,0.02203856749311295,Northeast
IL,65,510,no,no,0,192.0,89,32.64,139.5,88,11.86,187.4,102,8.43,5.5,4,1.49,2,0,518.9,279,109.28999999999999,524.4,283,110.77999999999999,0.39172043010752683,0.3725,0.010488176964149505,0.007067137809187279,Midwest
UT,61,408,no,yes,25,163.7,78,27.83,113.2,112,9.62,134.1,118,6.03,9.9,3,2.67,3,0,411.0,308,93.65,420.9,311,96.32000000000001,0.3040584415584416,0.89,0.023521026372059873,0.00964630225080386,West
WV,172,415,no,no,0,211.7,100,35.99,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1,0,712.0999999999999,337,130.47,718.5999999999999,346,132.23,0.3871513353115727,0.19555555555555557,0.009045365989423881,0.002890173410404624,South
NJ,72,415,no,no,0,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1,0,550.7,319,125.18,562.5,322,128.37,0.3924137931034483,1.0633333333333332,0.02097777777777778,0.003105590062111801,Northeast
NM,113,510,no,no,0,150.1,120,25.52,200.1,85,17.01,266.7,105,12.0,11.0,3,2.97,2,0,616.9,310,149.01,627.9,313,151.98,0.48067741935483865,0.9900000000000001,0.017518713170887084,0.006389776357827476,West
ND,177,408,no,no,0,189.5,99,32.22,176.3,117,14.99,225.9,112,10.17,14.2,2,3.83,1,0,591.7,328,124.16,605.9000000000001,330,127.99,0.37853658536585366,1.915,0.023436210595807885,0.0030303030303030303,Midwest
WA,100,408,no,no,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,1,517.2,321,122.72,526.7,322,125.28999999999999,0.3823052959501558,2.57,0.018036833111828365,0.018633540372670808,West
NM,67,415,no,no,0,215.5,102,36.64,190.7,95,16.21,214.5,106,9.65,8.6,6,2.32,1,0,620.7,303,127.86000000000001,629.3000000000001,309,130.18,0.421980198019802,0.38666666666666666,0.013665978070872395,0.003236245954692557,West
DE,136,415,no,no,0,101.7,105,17.29,202.8,99,17.24,136.2,119,6.13,9.4,6,2.54,3,0,440.7,323,128.37,450.09999999999997,329,130.91,0.39743034055727555,0.42333333333333334,0.020884247944901135,0.00911854103343465,South
GA,71,415,no,no,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,0,567.6,338,150.99,577.3000000000001,346,153.61,0.44671597633136095,0.3275,0.016802355794214442,0.011560693641618497,South
HI,134,408,no,no,0,242.4,126,41.21,152.9,115,13.0,318.3,115,14.32,11.8,6,3.19,1,0,713.6,356,153.32,725.4,362,156.51,0.4306741573033708,0.5316666666666666,0.01626688723462917,0.0027624309392265192,West
CT,124,415,no,no,0,131.8,82,22.41,284.3,119,24.17,305.5,101,13.75,11.3,2,3.05,1,0,721.6,302,119.92,732.9,304,122.97,0.3970860927152318,1.525,0.015418201664620004,0.003289473684210526,Northeast
NJ,84,415,no,no,0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,0,635.4,345,129.94,645.1999999999999,351,132.59,0.37663768115942026,0.44166666666666665,0.015189088654680723,0.005698005698005698,Northeast
ME,39,408,no,no,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,0,554.5,308,130.19,564.3,312,132.84,0.4226948051948052,0.6625,0.017366648945596315,0.00641025641025641,Northeast
OK,110,510,no,no,0,188.0,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,0,428.8,309,141.45,444.1,312,145.57999999999998,0.4577669902912621,1.3766666666666667,0.034451700067552354,0.009615384615384616,South
TN,102,510,no,no,0,103.1,70,17.53,275.0,129,23.38,141.1,92,6.35,11.2,5,3.02,1,0,519.2,291,99.72999999999999,530.4000000000001,296,102.74999999999999,0.3427147766323024,0.604,0.02111613876319758,0.0033783783783783786,South
WY,70,415,no,no,0,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,0,595.5,356,155.29,607.1,360,158.42,0.4362078651685393,0.7825,0.019107231098665786,0.0,West
NY,142,415,no,no,0,145.4,93,24.72,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1,0,568.5,287,120.39999999999999,579.4,288,123.33999999999999,0.4195121951219512,2.94,0.018812564722126338,0.003472222222222222,Northeast
DE,81,510,yes,no,0,250.6,85,42.6,187.9,50,15.97,120.3,131,5.41,7.8,5,2.11,1,0,558.8,266,106.38,566.5999999999999,271,108.49,0.3999248120300752,0.422,0.01376632545005295,0.0036900369003690036,South
RI,17,415,no,no,0,161.5,123,27.46,214.2,81,18.21,315.0,106,14.18,8.6,5,2.32,1,0,690.7,310,155.39000000000001,699.3000000000001,315,157.71,0.5012580645161291,0.46399999999999997,0.012298012298012296,0.0031746031746031746,Northeast
PA,119,408,no,no,0,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10.0,2,2.7,1,1,745.7,258,133.10999999999999,755.7,260,135.80999999999997,0.5159302325581395,1.35,0.013232764324467381,0.0038461538461538464,Northeast
HI,105,415,no,no,0,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0,1,785.5999999999999,329,158.76,794.3,332,161.10999999999999,0.48255319148936165,0.7833333333333333,0.010953040412942212,0.0,West
MD,108,415,yes,yes,42,130.1,90,22.12,167.0,128,14.2,244.7,80,11.01,13.6,5,3.67,3,1,541.8,298,115.21000000000001,555.4,303,118.88000000000001,0.38661073825503356,0.734,0.024486856319769535,0.009900990099009901,South
VA,90,415,no,no,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,0,403.9,357,136.12,415.29999999999995,360,139.20000000000002,0.3812885154061625,1.0266666666666666,0.02745003611846858,0.005555555555555556,South
IN,100,415,no,yes,33,218.7,104,37.18,155.0,144,13.18,99.0,117,4.46,12.1,4,3.27,1,0,472.7,365,121.64,484.8,369,124.91,0.3332602739726027,0.8175,0.02495874587458746,0.0027100271002710027,Midwest
OR,155,408,no,yes,30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,0,571.3,262,113.46000000000001,578.0999999999999,268,115.30000000000001,0.43305343511450384,0.3066666666666667,0.011762670818197546,0.0037313432835820895,West
AZ,113,510,no,no,0,128.7,100,21.88,227.1,67,19.3,178.1,135,8.01,9.2,4,2.48,2,1,533.9,302,127.31,543.1,306,129.79,0.4215562913907285,0.62,0.016939790093905355,0.006535947712418301,West
WI,123,415,no,no,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,0,585.0999999999999,269,117.08,593.8,273,119.42999999999999,0.43524163568773233,0.5875,0.014651397777029302,0.003663003663003663,Midwest
VA,145,408,no,no,0,199.2,124,33.86,126.0,86,10.71,289.2,135,13.01,7.6,3,2.05,1,0,614.4,345,147.72,622.0,348,149.77,0.42817391304347824,0.6833333333333332,0.012218649517684886,0.0028735632183908046,South
MO,42,415,no,no,0,184.5,98,31.37,200.5,93,17.04,279.2,91,12.56,8.8,3,2.38,2,0,664.2,282,127.6,673.0,285,129.98,0.4524822695035461,0.7933333333333333,0.013075780089153046,0.007017543859649123,Midwest
NV,125,510,no,no,0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,0,587.5,298,124.88000000000001,598.4,305,127.82000000000001,0.4190604026845638,0.42,0.01821524064171123,0.0,West
HI,131,415,no,yes,30,174.0,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,0,597.5,289,145.26999999999998,604.2,292,147.07999999999998,0.5026643598615916,0.6033333333333334,0.011089043363124792,0.003424657534246575,West
WA,107,415,no,no,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,0,595.0999999999999,233,91.71,603.5999999999999,236,94.00999999999999,0.39360515021459225,0.7666666666666666,0.014082173624917167,0.00423728813559322,West
IL,48,408,no,no,0,198.2,73,33.69,202.8,115,17.24,146.4,73,6.59,5.1,5,1.38,1,0,547.4,261,96.83,552.5,266,98.21,0.3709961685823755,0.27599999999999997,0.00923076923076923,0.0037593984962406013,Midwest
IL,76,510,no,no,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8.0,4,2.16,0,0,628.3,296,124.36999999999999,636.3,300,126.52999999999999,0.4201689189189189,0.54,0.012572685840012573,0.0,Midwest
LA,128,415,no,no,0,148.5,105,25.25,243.0,106,20.66,255.2,114,11.48,6.8,2,1.84,1,0,646.7,325,137.14,653.5,327,138.98,0.4219692307692307,0.92,0.010405508798775822,0.0030581039755351682,South
WI,73,415,no,no,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10.0,8,2.7,0,0,607.4,283,140.01999999999998,617.4,291,142.71999999999997,0.49477031802120136,0.3375,0.016196954972465177,0.0,Midwest
TX,52,415,no,no,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,1,464.5,298,129.26,471.5,302,131.14999999999998,0.4337583892617449,0.4725,0.014846235418875928,0.013245033112582781,South
MI,126,415,yes,yes,26,129.3,123,21.98,176.5,114,15.0,154.5,102,6.95,9.6,7,2.59,1,0,460.3,339,144.95,469.90000000000003,346,147.54,0.4275811209439528,0.37,0.02042987869759523,0.002890173410404624,Midwest
NC,124,415,no,no,0,188.5,77,32.05,182.0,123,15.47,218.2,127,9.82,6.1,6,1.65,1,0,588.7,327,102.28999999999999,594.8000000000001,333,103.94,0.31281345565749236,0.27499999999999997,0.010255548083389373,0.003003003003003003,South
WA,137,408,no,no,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0,0,655.7,350,149.12,666.8000000000001,355,152.12,0.42605714285714286,0.6,0.016646670665866826,0.0,West
ND,71,510,no,no,0,238.0,82,40.46,278.5,94,23.67,193.1,134,8.69,11.8,10,3.19,0,1,709.6,310,114.36,721.4,320,117.55,0.36890322580645163,0.319,0.016357083448849462,0.0,Midwest
NE,139,415,no,no,0,211.1,103,35.89,206.9,108,17.59,193.9,70,8.73,5.6,4,1.51,0,0,611.9,281,129.32,617.5,285,130.82999999999998,0.4602135231316726,0.3775,0.009068825910931173,0.0,Midwest
MS,107,510,no,yes,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3,0,565.7,253,111.78999999999999,578.3000000000001,257,115.19,0.4418577075098814,0.85,0.021787999308317478,0.011673151750972763,South
KY,147,408,no,no,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,0,573.0999999999999,283,103.38,583.3,285,106.13,0.36530035335689043,1.375,0.017486713526487226,0.0035087719298245615,South
RI,116,510,no,no,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,0,387.7,284,142.06,400.09999999999997,286,145.41,0.5002112676056338,1.675,0.030992251937015748,0.01048951048951049,Northeast
NY,60,510,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,0,660.1,272,106.78,672.9,275,110.24,0.3925735294117647,1.1533333333333333,0.01902214296329321,0.007272727272727273,Northeast
TX,38,510,no,no,0,149.0,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,0,361.5,263,103.53,375.4,274,107.28,0.39365019011406843,0.3409090909090909,0.03702717101758125,0.0,South
DE,63,408,no,no,0,117.1,118,19.91,249.6,90,21.22,162.2,84,7.3,11.1,4,3.0,3,0,528.9,292,146.52,540.0,296,149.52,0.5017808219178083,0.75,0.020555555555555556,0.010135135135135136,South
NM,94,415,no,no,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,0,602.0,323,110.9,612.4,326,113.71000000000001,0.34334365325077404,0.9366666666666666,0.016982364467668192,0.009202453987730062,West
RI,131,415,no,no,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,0,454.9,354,156.36999999999998,465.0,359,159.09999999999997,0.4417231638418078,0.546,0.021720430107526882,0.0,Northeast
MS,158,510,no,no,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,0,552.5,291,129.48000000000002,563.5,297,132.45000000000002,0.4449484536082475,0.49500000000000005,0.019520851818988466,0.003367003367003367,South
NY,139,510,no,no,0,236.6,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3.0,1,1,618.8,334,132.99,629.9,336,135.99,0.3981736526946108,1.5,0.017621844737259883,0.002976190476190476,Northeast
NE,77,415,no,no,0,169.4,102,28.8,184.9,144,15.72,234.3,89,10.54,2.0,7,0.54,1,0,588.6,335,128.26,590.6,342,128.79999999999998,0.382865671641791,0.07714285714285715,0.0033863867253640365,0.0029239766081871343,Midwest
WI,140,415,no,no,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,0,547.9,302,107.67,557.3,312,110.21000000000001,0.35652317880794704,0.254,0.01686703750224296,0.009615384615384616,Midwest
KY,72,408,no,no,0,177.1,97,30.11,184.7,105,15.7,174.1,94,7.83,8.0,6,2.16,1,0,535.9,296,120.53,543.9,302,122.69,0.40719594594594594,0.36000000000000004,0.014708586137157566,0.0033112582781456954,South
SD,52,510,no,yes,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1,0,590.3,293,90.93,603.8,295,94.58000000000001,0.3103412969283277,1.825,0.02235839682013912,0.003389830508474576,Midwest
VA,103,510,no,no,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,13.0,3,3.51,5,0,588.9000000000001,317,148.47,601.9000000000001,320,151.98,0.4683596214511041,1.17,0.021598272138228937,0.015625,South
KS,74,415,no,yes,32,174.6,107,29.68,310.6,115,26.4,234.7,92,10.56,9.0,4,2.43,1,0,719.9000000000001,314,143.96,728.9000000000001,318,146.39000000000001,0.45847133757961783,0.6075,0.012347372753464123,0.0031446540880503146,Midwest
ND,124,415,no,no,0,150.3,101,25.55,255.9,112,21.75,136.7,62,6.15,12.5,4,3.38,2,0,542.9000000000001,275,128.9,555.4000000000001,279,132.28,0.46872727272727277,0.845,0.022506301764494054,0.007168458781362007,Midwest
CO,85,510,no,yes,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,0,672.4,298,137.1,678.6999999999999,299,138.79999999999998,0.46006711409395973,1.7,0.009282451745984972,0.016722408026755852,West
KY,113,408,no,yes,20,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,1,590.8,239,108.95,599.5,241,111.3,0.45585774058577405,1.175,0.014512093411175979,0.02074688796680498,South
WA,71,408,no,no,0,141.2,132,24.0,149.1,90,12.67,171.4,72,7.71,7.0,2,1.89,2,0,461.69999999999993,294,152.38,468.69999999999993,296,154.26999999999998,0.5182993197278911,0.945,0.014934926392148499,0.006756756756756757,West
NV,177,415,no,yes,27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1,0,641.6999999999999,292,132.36,652.0999999999999,294,135.17000000000002,0.4532876712328768,1.405,0.01594847416040485,0.003401360544217687,West
SC,49,415,yes,no,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,1,614.5,297,117.31,630.1,303,121.52,0.394983164983165,0.7016666666666667,0.02475797492461514,0.006600660066006601,South
RI,106,510,yes,no,0,204.0,84,34.68,168.5,61,14.32,164.0,102,7.38,13.3,3,3.59,3,1,536.5,247,105.69999999999999,549.8,250,109.28999999999999,0.42793522267206474,1.1966666666666665,0.024190614769006916,0.012,Northeast
ID,60,510,no,no,0,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2.0,1,0,602.4,244,130.3,609.8,247,132.3,0.534016393442623,0.6666666666666666,0.012135126270908497,0.004048582995951417,West
KY,43,408,no,no,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,0,633.9,297,119.25,646.6,299,122.68,0.4015151515151515,1.715,0.019641200123724094,0.013377926421404682,South
ME,66,510,no,no,0,118.0,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1,0,580.5,354,163.74,585.8,359,165.17000000000002,0.46254237288135597,0.286,0.00904745646978491,0.002785515320334262,Northeast
SD,125,415,no,no,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0,0,612.3,253,103.41,628.0,257,107.64999999999999,0.40873517786561264,1.06,0.024999999999999998,0.0,Midwest
SC,114,510,no,yes,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,0,595.4000000000001,269,125.65,604.8000000000001,272,128.19,0.4671003717472119,0.8466666666666667,0.015542328042328041,0.011029411764705883,South
TN,112,415,no,no,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,1,657.7,307,145.38,674.1,312,149.81,0.4735504885993485,0.8859999999999999,0.02432873460910844,0.009615384615384616,South
MT,101,408,no,yes,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,0,527.3000000000001,320,139.51,535.5000000000001,325,141.72,0.43596874999999996,0.442,0.015312791783380015,0.006153846153846154,West
WI,70,415,no,no,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,0,300.9,272,118.64,313.0,273,121.91,0.4361764705882353,3.27,0.03865814696485623,0.0,Midwest
AK,59,408,no,no,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,0,465.29999999999995,325,116.45,475.49999999999994,329,119.2,0.3583076923076923,0.6875,0.021451104100946375,0.0,West
AZ,59,408,no,no,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,0,548.4,296,95.34,560.5,298,98.61,0.3220945945945946,1.635,0.0215878679750223,0.003355704697986577,West
MT,124,415,no,yes,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12.0,7,3.24,2,0,633.3,218,67.49,645.3,225,70.72999999999999,0.3095871559633027,0.4628571428571429,0.018596001859600187,0.008888888888888889,West
DE,99,415,no,no,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,0,581.5,311,116.28,593.9,315,119.63,0.37389067524115754,0.8375,0.020878935847785825,0.006349206349206349,South
VA,150,510,no,no,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1,0,565.4,313,149.5,578.0,316,152.9,0.4776357827476038,1.1333333333333333,0.02179930795847751,0.0031645569620253164,South
MA,81,510,no,no,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2,0,553.2,264,97.9,560.8000000000001,267,99.95,0.37083333333333335,0.6833333333333332,0.013552068473609128,0.00749063670411985,Northeast
IN,86,510,no,no,0,216.3,96,36.77,266.3,77,22.64,214.0,110,9.63,4.5,3,1.22,0,0,696.6,283,128.27,701.1,286,129.49,0.4532508833922262,0.4066666666666667,0.006418485237483953,0.0,Midwest
MD,84,510,no,no,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,0,425.3,260,113.82000000000001,435.90000000000003,267,116.68,0.4377692307692308,0.40857142857142853,0.024317504014682263,0.0,South
NV,118,510,no,yes,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,0,729.9000000000001,340,150.64,741.6000000000001,341,153.79999999999998,0.4430588235294117,3.16,0.01577669902912621,0.002932551319648094,West
CO,89,415,no,no,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,0,664.8,340,161.82,672.4,343,163.87,0.4759411764705882,0.6833333333333332,0.011302795954788817,0.0029154518950437317,West
KS,93,415,no,no,0,266.0,120,45.22,130.1,84,11.06,165.8,63,7.46,13.1,6,3.54,3,0,561.9000000000001,267,138.52,575.0000000000001,273,142.06,0.5188014981273409,0.59,0.022782608695652167,0.01098901098901099,Midwest
AR,85,415,no,no,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,0,462.2,280,121.2,471.9,283,123.82000000000001,0.4328571428571429,0.8733333333333334,0.02055520237338419,0.007067137809187279,South
WY,160,408,no,no,0,82.7,116,14.06,194.6,95,16.54,159.0,54,7.15,10.9,9,2.94,0,0,436.3,265,139.69,447.2,274,142.63,0.5271320754716982,0.32666666666666666,0.024373881932021467,0.0,West
PA,28,415,no,no,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,0,522.3,291,109.39999999999999,532.4,294,112.13,0.3759450171821306,0.91,0.01897069872276484,0.01020408163265306,Northeast
TX,73,408,no,no,0,286.4,109,48.69,178.2,67,15.15,214.2,152,9.64,10.7,14,2.89,1,1,678.8,328,133.79000000000002,689.5,342,136.68,0.4078963414634147,0.20642857142857143,0.01551849166062364,0.0029239766081871343,South
NY,156,408,no,no,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,0,619.0999999999999,328,122.48,631.9999999999999,333,125.96000000000001,0.37341463414634146,0.696,0.020411392405063296,0.009009009009009009,Northeast
OR,33,415,yes,no,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,1,0,542.1999999999999,340,122.28999999999999,555.1999999999999,346,125.8,0.35967647058823526,0.585,0.0234149855907781,0.002890173410404624,West
